benchmark_version,dataset_sha256,method,subset_size,holdout,universe_size,universe_fraction,reduction_factor,contained_draws_full,containment_rate_full,random_expected_containment_rate_full,containment_lift_full,main_universe_size,mean_distinct_main_sets,contained_draws_main,containment_rate_main,random_expected_containment_rate_main,containment_lift_main,star_share_entropy,min_star_share,selection_budget,modeled_expected_roi_per_selected_ticket
3.0.0,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,poi_g_causal,20,104,1980,0.010101010101010102,99.0,0,0.0,0.010101010101010102,0.0,495,19.865384615384617,2,0.019230769230769232,0.04013209013209013,0.4791868344627299,0.7397415724360914,0.01826923076923077,5,-0.9494481546883461
3.0.0,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,poi_g_causal,100,104,1980,0.050505050505050504,19.8,7,0.0673076923076923,0.050505050505050504,1.3326923076923076,495,93.70192307692308,21,0.20192307692307693,0.1892968142968143,1.0667008722421754,0.9621340552200194,0.16875,5,-0.9494856679798658
3.0.0,a7ab8eb08182a09d8d33507e42a6d1b98ec830d5e2db0d13e0a177dd86938c47,poi_g_causal,500,104,1980,0.25252525252525254,3.96,25,0.2403846153846154,0.25252525252525254,0.9519230769230769,495,345.6730769230769,78,0.75,0.6983294483294483,1.0739916550764952,0.9727030420868726,0.18028846153846154,5,-0.9487418381891671
