contest_number,draw_date,agent,contest_rank,roi_alpha_vs_house_pp,beats_house,win_rate_vs_house_pct,mean_roi_alpha_vs_house_pp,expected_roi_pct,pair_coverage_pct,number_coverage_pct,hit_recall_pct,unpopularity_lift_x,anomaly_index,best_main_hits,best_auxiliary_hits,actual_main,actual_auxiliary,ticket_set_json,evaluation_scope
5,2026-08-04,gingerm,7,-0.27196710774634036,False,80.0,1.2266972800695597,-77.04426113885413,8.73469387755102,66.0,5.000000000000001,0.9545272412454624,16.071428571428573,1,1,25 30 34 46 50,1 12,"[{""auxiliary"":[1,2],""main"":[2,12,14,19,37]},{""auxiliary"":[1,2],""main"":[1,3,10,19,36]},{""auxiliary"":[1,2],""main"":[10,16,43,44,46]},{""auxiliary"":[1,2],""main"":[2,12,14,21,27]},{""auxiliary"":[1,2],""main"":[4,7,29,44,48]},{""auxiliary"":[1,2],""main"":[4,12,19,42,45]},{""auxiliary"":[1,2],""main"":[10,17,18,19,23]},{""auxiliary"":[1,2],""main"":[13,23,34,39,41]},{""auxiliary"":[1,2],""main"":[29,35,38,47,48]},{""auxiliary"":[1,2],""main"":[1,3,10,21,39]},{""auxiliary"":[1,2],""main"":[13,23,33,35,48]},{""auxiliary"":[1,2],""main"":[10,14,17,31,46]}]",observed_history_forward_replay
5,2026-08-04,spectral_contrarian,2,3.9126884415086383,True,100.0,3.2497823703292523,-72.85960558959914,8.979591836734693,84.0,11.666666666666666,1.1285302537885957,78.57142857142858,2,1,25 30 34 46 50,1 12,"[{""auxiliary"":[3,8],""main"":[6,18,25,37,49]},{""auxiliary"":[7,12],""main"":[4,15,23,34,42]},{""auxiliary"":[4,11],""main"":[1,8,20,32,39]},{""auxiliary"":[3,7],""main"":[5,17,24,36,48]},{""auxiliary"":[7,11],""main"":[2,14,22,33,41]},{""auxiliary"":[3,11],""main"":[7,19,31,38,50]},{""auxiliary"":[3,7],""main"":[4,16,23,35,47]},{""auxiliary"":[7,11],""main"":[1,13,21,32,40]},{""auxiliary"":[2,7],""main"":[3,15,22,34,46]},{""auxiliary"":[6,11],""main"":[12,19,31,39,50]},{""auxiliary"":[2,7],""main"":[2,14,21,33,45]},{""auxiliary"":[6,11],""main"":[11,18,30,38,49]}]",observed_history_forward_replay
5,2026-08-04,parallax,4,1.7810083491842987,True,60.0,0.3267523246976056,-74.99128568192349,9.795918367346939,96.0,13.333333333333334,1.0398924308001074,57.14285714285714,2,1,25 30 34 46 50,1 12,"[{""auxiliary"":[4,12],""main"":[39,44,45,48,50]},{""auxiliary"":[2,7],""main"":[36,37,40,43,47]},{""auxiliary"":[5,9],""main"":[32,35,38,46,49]},{""auxiliary"":[1,6],""main"":[1,30,33,34,41]},{""auxiliary"":[3,11],""main"":[15,18,23,29,42]},{""auxiliary"":[8,10],""main"":[2,13,17,22,41]},{""auxiliary"":[4,6],""main"":[9,11,20,24,31]},{""auxiliary"":[2,11],""main"":[3,8,12,19,28]},{""auxiliary"":[7,10],""main"":[10,16,25,27,46]},{""auxiliary"":[3,12],""main"":[4,14,21,40,50]},{""auxiliary"":[8,9],""main"":[6,26,43,48,49]},{""auxiliary"":[1,5],""main"":[22,30,32,42,48]}]",observed_history_forward_replay
5,2026-08-04,coordinated_aggregation,5,1.7810083491842987,True,60.0,0.3267523246976056,-74.99128568192349,9.795918367346939,96.0,13.333333333333334,1.0398924308001074,57.14285714285714,2,1,25 30 34 46 50,1 12,"[{""auxiliary"":[4,12],""main"":[39,44,45,48,50]},{""auxiliary"":[2,7],""main"":[36,37,40,43,47]},{""auxiliary"":[5,9],""main"":[32,35,38,46,49]},{""auxiliary"":[1,6],""main"":[1,30,33,34,41]},{""auxiliary"":[3,11],""main"":[15,18,23,29,42]},{""auxiliary"":[8,10],""main"":[2,13,17,22,41]},{""auxiliary"":[4,6],""main"":[9,11,20,24,31]},{""auxiliary"":[2,11],""main"":[3,8,12,19,28]},{""auxiliary"":[7,10],""main"":[10,16,25,27,46]},{""auxiliary"":[3,12],""main"":[4,14,21,40,50]},{""auxiliary"":[8,9],""main"":[6,26,43,48,49]},{""auxiliary"":[1,5],""main"":[22,30,32,42,48]}]",observed_history_forward_replay
6,2026-08-07,uniform_random,4,0.0,False,0.0,0.0,-74.26865964572542,9.551020408163264,78.0,10.0,1.0699400908190906,57.14285714285714,1,2,26 29 35 38 47,1 2,"[{""auxiliary"":[7,12],""main"":[1,14,16,20,38]},{""auxiliary"":[1,9],""main"":[27,30,31,35,40]},{""auxiliary"":[4,10],""main"":[4,14,18,22,34]},{""auxiliary"":[2,6],""main"":[9,12,17,29,43]},{""auxiliary"":[4,11],""main"":[3,10,22,40,48]},{""auxiliary"":[2,7],""main"":[25,28,39,45,49]},{""auxiliary"":[4,12],""main"":[1,3,16,23,45]},{""auxiliary"":[1,2],""main"":[13,14,19,31,46]},{""auxiliary"":[8,10],""main"":[8,9,22,32,44]},{""auxiliary"":[1,12],""main"":[3,5,18,34,38]},{""auxiliary"":[1,12],""main"":[15,35,39,41,50]},{""auxiliary"":[2,8],""main"":[9,10,15,26,50]}]",observed_history_forward_replay
6,2026-08-07,frequency,5,-0.6531478733527663,False,83.33333333333334,1.5205404744845958,-74.92180751907819,9.551020408163264,78.0,13.333333333333334,1.0427814164044773,53.57142857142857,2,1,26 29 35 38 47,1 2,"[{""auxiliary"":[8,11],""main"":[3,15,20,31,43]},{""auxiliary"":[3,12],""main"":[3,8,14,24,39]},{""auxiliary"":[2,11],""main"":[3,13,22,44,45]},{""auxiliary"":[5,11],""main"":[4,6,23,26,33]},{""auxiliary"":[2,7],""main"":[5,40,41,42,46]},{""auxiliary"":[5,11],""main"":[16,25,27,40,46]},{""auxiliary"":[2,12],""main"":[2,6,14,29,47]},{""auxiliary"":[1,7],""main"":[14,19,25,29,37]},{""auxiliary"":[1,9],""main"":[2,4,30,38,42]},{""auxiliary"":[5,9],""main"":[9,18,26,46,50]},{""auxiliary"":[10,12],""main"":[10,14,15,27,40]},{""auxiliary"":[2,12],""main"":[1,10,23,29,35]}]",observed_history_forward_replay
6,2026-08-07,unpopularity,1,2.862333139263251,True,100.0,4.395369799346294,-71.40632650646216,5.63265306122449,32.0,11.666666666666668,1.1889593465909358,92.85714285714286,2,1,26 29 35 38 47,1 2,"[{""auxiliary"":[9,11],""main"":[38,45,46,48,50]},{""auxiliary"":[7,8],""main"":[34,44,46,48,50]},{""auxiliary"":[9,10],""main"":[37,38,47,48,50]},{""auxiliary"":[2,10],""main"":[37,43,44,46,47]},{""auxiliary"":[2,4],""main"":[33,41,44,48,50]},{""auxiliary"":[1,3],""main"":[34,44,45,46,47]},{""auxiliary"":[5,8],""main"":[36,41,43,45,48]},{""auxiliary"":[10,12],""main"":[34,40,43,47,48]},{""auxiliary"":[3,12],""main"":[33,41,43,44,48]},{""auxiliary"":[2,11],""main"":[34,38,43,45,48]},{""auxiliary"":[6,9],""main"":[32,39,43,44,50]},{""auxiliary"":[4,7],""main"":[33,41,43,44,46]}]",observed_history_forward_replay
6,2026-08-07,gingerm,3,1.0648485462552704,True,83.33333333333334,1.1997224911005115,-73.20381109947014,8.89795918367347,66.0,15.0,1.1142177745542745,78.57142857142858,2,2,26 29 35 38 47,1 2,"[{""auxiliary"":[1,2],""main"":[24,27,41,42,44]},{""auxiliary"":[1,2],""main"":[6,21,34,38,42]},{""auxiliary"":[1,2],""main"":[24,27,40,42,45]},{""auxiliary"":[1,2],""main"":[11,13,23,39,45]},{""auxiliary"":[1,2],""main"":[6,19,21,37,39]},{""auxiliary"":[1,2],""main"":[15,23,38,40,44]},{""auxiliary"":[1,2],""main"":[21,33,42,47,50]},{""auxiliary"":[1,2],""main"":[4,10,13,26,35]},{""auxiliary"":[1,2],""main"":[17,19,35,38,48]},{""auxiliary"":[1,2],""main"":[3,9,17,20,43]},{""auxiliary"":[1,2],""main"":[8,15,21,30,38]},{""auxiliary"":[1,2],""main"":[41,42,47,48,50]}]",observed_history_forward_replay
6,2026-08-07,spectral_contrarian,2,1.4070474980165226,True,100.0,2.9426598916104645,-72.8616121477089,8.89795918367347,84.0,6.666666666666667,1.1284468186881842,67.85714285714286,2,1,26 29 35 38 47,1 2,"[{""auxiliary"":[3,8],""main"":[6,18,25,37,49]},{""auxiliary"":[7,12],""main"":[4,15,22,34,42]},{""auxiliary"":[4,11],""main"":[1,8,20,32,39]},{""auxiliary"":[3,7],""main"":[5,17,24,36,48]},{""auxiliary"":[7,11],""main"":[2,14,22,33,41]},{""auxiliary"":[3,11],""main"":[7,19,31,38,50]},{""auxiliary"":[3,7],""main"":[4,16,23,35,47]},{""auxiliary"":[7,11],""main"":[1,13,21,32,40]},{""auxiliary"":[2,7],""main"":[3,15,22,34,46]},{""auxiliary"":[6,11],""main"":[12,19,31,39,50]},{""auxiliary"":[2,7],""main"":[2,14,21,33,45]},{""auxiliary"":[6,11],""main"":[11,18,30,38,49]}]",observed_history_forward_replay
6,2026-08-07,parallax,6,-0.8159682676714297,False,50.0,0.13629889263609973,-75.08462791339684,9.795918367346939,98.0,8.333333333333332,1.0360111485099182,25.0,2,2,26 29 35 38 47,1 2,"[{""auxiliary"":[9,11],""main"":[38,44,46,47,50]},{""auxiliary"":[2,7],""main"":[32,39,43,45,48]},{""auxiliary"":[8,10],""main"":[33,35,36,37,41]},{""auxiliary"":[1,4],""main"":[13,26,31,40,49]},{""auxiliary"":[3,12],""main"":[3,5,22,25,34]},{""auxiliary"":[5,6],""main"":[16,19,28,36,42]},{""auxiliary"":[1,2],""main"":[11,23,24,29,30]},{""auxiliary"":[4,12],""main"":[2,8,14,17,18]},{""auxiliary"":[5,9],""main"":[1,4,15,20,46]},{""auxiliary"":[6,7],""main"":[9,12,27,40,48]},{""auxiliary"":[3,10],""main"":[3,7,10,36,44]},{""auxiliary"":[8,11],""main"":[15,21,34,41,43]}]",observed_history_forward_replay
