rank,agent,agent_label,contests,contests_above_null,consistency_pct,mean_roi_alpha_pp,median_roi_alpha_pp,min_roi_alpha_pp,max_roi_alpha_pp,mean_expected_roi_pct,mean_pair_coverage_pct,mean_hit_recall_pct,mean_unpopularity_lift_x
1,unpopularity,Crowd escape,12,12,100.0,4.321855129894112,3.987300451058573,2.6294404325835408,6.286080889756263,-71.40622378003482,5.564625850340136,14.583333333333336,1.1889636180793814
2,spectral_contrarian,Spectral contrarian,12,12,100.0,2.867548684680111,2.533188090621341,1.1783436326878949,4.833709886016868,-72.86053022524884,8.931972789115646,9.166666666666666,1.1284918063257987
3,gingerm,Co-occurrence,12,11,91.66666666666666,1.505442531356879,1.2624015132885913,-0.27196710774634036,3.0097158702310334,-74.22263637857205,8.904761904761903,10.0,1.071853793640626
4,frequency,Frequency,12,9,75.0,0.758817748350407,1.1468136650347571,-3.568246281704257,3.560268069585737,-74.96926116157853,9.353741496598639,9.444444444444445,1.0408082368550458
5,uniform_random,Uniform null,12,0,0.0,0.0,0.0,0.0,0.0,-75.72807890992894,9.42857142857143,8.88888888888889,1.009255681900391
6,parallax,Parallax guard,12,6,50.0,-0.046427115384168695,-0.06062577911175593,-3.4459789914919714,2.062164862472793,-75.7745060253131,9.79591836734694,10.0,1.007325186583525
7,coordinated_aggregation,Coordinator,12,6,50.0,-0.046427115384168695,-0.06062577911175593,-3.4459789914919714,2.062164862472793,-75.7745060253131,9.79591836734694,10.0,1.007325186583525
