19	34	38	45	46	6
6	12	21	27	41	8
3	14	33	38	41	7
22	31	39	42	44	8
2	29	32	35	48	13
30	40	43	47	48	3
2	20	38	43	44	12
16	39	43	46	47	3
17	18	38	42	44	11
27	34	38	45	47	2
5	9	20	28	49	12
4	8	17	42	43	2
1	15	17	24	45	6
4	12	20	26	46	7
7	22	27	28	44	13
7	9	21	27	38	3
14	16	18	26	42	8
15	20	23	32	33	13
13	32	34	37	40	11
5	11	20	29	41	8
16	19	22	33	44	3
1	13	24	32	38	5
6	19	25	35	40	12
29	30	42	44	48	3
10	14	24	34	48	8
6	14	31	43	47	8
9	19	42	47	48	1
29	36	40	44	46	1
7	17	22	36	39	7
19	22	26	33	35	10
5	7	15	24	31	8
11	19	31	38	49	9
2	5	9	42	49	4
3	22	32	33	44	11
11	19	23	30	31	12
16	17	32	40	47	2
21	27	32	36	42	9
3	7	26	30	45	8
5	6	11	17	36	7
3	15	26	40	42	1
10	19	24	34	37	3
17	22	25	33	46	5
12	15	16	26	40	8
7	10	16	39	47	7
12	15	16	28	31	3
15	32	36	38	45	13
18	22	32	35	45	5
3	7	11	16	41	2
11	21	27	30	49	7
16	19	20	22	31	6
6	17	36	37	43	3
6	22	25	29	49	13
2	11	29	31	44	9
2	4	9	40	45	9
2	5	8	35	44	3
6	15	16	24	40	3
7	15	22	26	35	2
5	15	16	37	47	5
24	25	28	32	33	4
5	28	30	40	49	12
6	12	18	21	34	1
9	17	31	47	48	12
2	27	33	41	48	2
9	14	18	19	41	11
6	7	32	44	48	1
24	28	30	42	44	8
7	10	34	41	45	4
9	16	23	48	49	11
7	9	15	45	46	2
8	10	16	22	30	3
17	20	23	31	44	12
19	26	28	36	47	3
4	17	18	28	34	13
15	23	35	48	49	5
5	6	12	21	27	13
1	6	13	24	36	9
4	11	13	22	37	3
16	30	33	38	45	5
13	23	37	40	42	9
8	11	37	43	48	10
13	18	19	35	36	13
9	11	15	35	36	3
16	18	31	35	37	1
7	13	19	20	31	3
6	18	25	39	40	6
12	20	29	32	41	6
8	17	33	45	49	1
