benchmark_version,dataset_sha256,method,subset_size,universe_size,universe_fraction,reduction_factor,holdout,contained_draws,containment_rate,random_expected_containment_rate,containment_lift,selection_budget,modeled_expected_roi_per_selected_ticket
2.0.0,6bf3ff8045062e942d7445be27e2d994d16826b8735ab7b2f6f7e734c0017caf,poi_g_causal,20,1980,0.010101010101010102,99.0,4,0,0.0,0.010101010101010102,0.0,5,-0.9364158118882473
2.0.0,6bf3ff8045062e942d7445be27e2d994d16826b8735ab7b2f6f7e734c0017caf,poi_g_causal,100,1980,0.050505050505050504,19.8,4,0,0.0,0.050505050505050504,0.0,5,-0.9364158118882473
2.0.0,6bf3ff8045062e942d7445be27e2d994d16826b8735ab7b2f6f7e734c0017caf,poi_g_causal,500,1980,0.25252525252525254,3.96,4,0,0.0,0.25252525252525254,0.0,5,-0.9359839972075594
