rank,agent,agent_label,contests,contests_above_null,consistency_pct,mean_roi_alpha_pp,median_roi_alpha_pp,min_roi_alpha_pp,max_roi_alpha_pp,mean_expected_roi_pct,mean_pair_coverage_pct,mean_hit_recall_pct,mean_unpopularity_lift_x
1,unpopularity,Crowd escape,12,12,100.0,0.39439798476793947,0.3172996496714098,0.11195468653598661,0.7966850968781691,-93.86157000883996,7.171717171717173,20.48611111111111,1.0625976601490283
2,gingerm,Co-occurrence,12,12,100.0,0.2629550918448094,0.1984899175139665,0.03279275098893031,0.6845767534700342,-93.9930129017631,13.42592592592593,13.194444444444445,1.0398441367457343
3,spectral_contrarian,Spectral contrarian,12,11,91.66666666666666,0.14924996579150362,0.07508639186447619,-0.11694186631507897,0.5405628796643192,-94.1067180278164,16.506734006734007,12.847222222222221,1.0201611231632406
4,frequency,Frequency,12,8,66.66666666666666,0.0659138068826004,0.12621910333698305,-0.6494812137450179,0.4183010655316344,-94.1900541867253,16.329966329966332,13.425925925925924,1.0057351530715501
5,parallax,Parallax guard,12,5,41.66666666666667,0.020501738400635627,-0.03408900392284919,-0.2607854814590471,0.37462314420741993,-94.23546625520726,18.156565656565657,15.162037037037038,0.9978740619161646
6,coordinated_aggregation,Coordinator,12,5,41.66666666666667,0.020501738400635627,-0.03408900392284919,-0.2607854814590471,0.37462314420741993,-94.23546625520726,18.156565656565657,15.162037037037038,0.9978740619161646
7,uniform_random,Uniform null,12,0,0.0,0.0,0.0,0.0,0.0,-94.2559679936079,16.65824915824916,11.689814814814815,0.9943250926707915
