evidence_rank,agent,agent_label,rank_within_agent,main_draw,auxiliary_draw,backtest_consistency_pct,backtest_mean_roi_alpha_pp,history_cutoff,score_status,commitment_sha256
32,spectral_contrarian,Spectral contrarian,8,3 9 13 19 30 37,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,7afdad747f5fa1f5e60ccb620de78f5324d653b126ebc4818c740369137aaf14
33,spectral_contrarian,Spectral contrarian,9,3 9 18 25 29 36,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,fc33c04524956de0d0d02ee7f5212de7e2abebdd04586f5861320b2aca072508
34,spectral_contrarian,Spectral contrarian,10,7 12 16 22 33 41,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,73de7730e7dcde653604fa71bd034cfb6b05d8a3142937ea8e79da7c90bd90e7
35,spectral_contrarian,Spectral contrarian,11,1 8 11 17 28 34,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,5f6384833fea4992e85fb8e6f15b62c2dd4262e2088bc0375986fea06ef4b5e9
36,spectral_contrarian,Spectral contrarian,12,5 10 20 27 31 39,,91.66666666666666,0.14924996579150362,2026-08-22,PENDING,b0c1f783cc84a1fe1dc512bed425aa05eddb7827073c99aeeb6c06b56ec32ae0
37,frequency,Frequency,1,8 11 17 21 27 41,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,d24a2078ad70b6f91725a331d376874f00878607babe6bee96cac702d15df305
38,frequency,Frequency,2,17 21 31 34 38 39,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,7d6f5227c322ab0d79431c55f59fc44fb69d8fa64d639f882d0f7400bacfe195
39,frequency,Frequency,3,3 31 37 39 42 43,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,dd988109a9d409871e5d1b7820df8dc3eb91c0f6c2a3142a088325678e3fa90d
40,frequency,Frequency,4,5 19 25 32 34 39,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,5965b0b0cfbb907f34117379b941b5535c995bcefdbf336a20bc4db2b92b03df
41,frequency,Frequency,5,5 16 28 31 41 43,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,1eef3c5a471086f5566188e10bf88a80a47dcc75e148b5c9fcd2271cc1731a02
42,frequency,Frequency,6,5 19 26 34 37 43,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,aa5276c0a027be3920f0b46e461a521732fd282d8c0e86f619b424d19d747249
43,frequency,Frequency,7,4 13 14 21 29 35,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,ac633734298aecb411dd0ef5f69257c6c851cb19b04410f573eb204782bd38d1
44,frequency,Frequency,8,1 7 18 28 36 42,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,e482192dc3a801d7ddd505165f939833951b6f07b96270286353ebd14eab2793
45,frequency,Frequency,9,9 10 11 23 34 36,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,6e4e39a0240925862d78bc07b53b76aeb094e8c13ff1fe99c77132666a8ee1f4
46,frequency,Frequency,10,13 14 22 25 33 35,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,b2f929084a23877a36eba8e6ba20a11de5ac16bac506f220e23dfdda6f2dad71
47,frequency,Frequency,11,3 4 9 31 40 44,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,c47a26aacfbcd717ed7805d7898d0b287bcc8c7f046903359dfc2861ebd8f96d
48,frequency,Frequency,12,9 21 22 23 28 44,,66.66666666666666,0.0659138068826004,2026-08-22,PENDING,5785e5fca0dd46a465271a2b079fd321d93a372bbd3aecc184fa8e48a8cf9145
49,parallax,Parallax guard,1,34 38 39 43 44 45,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,17669f27ef4526d095ebdeacb1812aa1d32deedd611cf34f36ab3cc17be2a577
50,coordinated_aggregation,Coordinator,1,34 38 39 43 44 45,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,088c09fcc368d86312de4a4ba66c69cdbece49323c6a4699a8708f256fc4a751
51,parallax,Parallax guard,2,20 32 33 37 40 42,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,51ed5213a1fed84e926421ae5119461ef1101336c87d2ef2aca5de58016721b3
52,coordinated_aggregation,Coordinator,2,20 32 33 37 40 42,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,e4a85c4c2db9227e7380f66308b442577aecfa309c162623fa376fb3dd94e678
53,parallax,Parallax guard,3,17 23 24 31 36 41,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,10c5259f0e3d6bead946662a68d83952e1fb448c7b542551b5714e163ed8b482
54,coordinated_aggregation,Coordinator,3,17 23 24 31 36 41,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,1139c327521792591acec7aa9f7aa04a783289f02d067bd9c558c53aaae90635
55,parallax,Parallax guard,4,12 13 15 18 29 35,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,8bec5c461dc12d6c6e521a27d94a094dfdbd05dc5cafe4a8ed9eb1e512d864aa
56,coordinated_aggregation,Coordinator,4,12 13 15 18 29 35,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,e1e9b0233778490babdae02373aaf7b05de9b1dd6b80a48fcfd3fcf42b90111b
57,parallax,Parallax guard,5,9 16 19 22 25 26,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,97055e6c2e286952427daefc7121d6a6aa41f04b0856f60faad14c0f3a90a60c
58,coordinated_aggregation,Coordinator,5,9 16 19 22 25 26,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,a3d5d2dbe57c9e8366e8c518c1229f8b0bca9f83983321c38347a58cd3f231f4
59,parallax,Parallax guard,6,2 3 6 8 14 27,,41.66666666666667,0.020501738400635627,2026-08-22,PENDING,6bff5e3667ffa7e241b6330ded6327d6fc3c10736695766bffba65653da176b0
