subset_size,holdout,main_universe_size,mean_distinct_main_sets,mean_best_match,max_best_match,draws_with_ge4,rate_ge4,random_rate_ge4,lift_ge4,draws_with_ge3,rate_ge3,random_rate_ge3,lift_ge3,mean_tickets_ge4,random_mean_tickets_ge4,freqmatched_rate_ge4,lift_ge4_vs_freqmatched,freqmatched_rate_ge3,lift_ge3_vs_freqmatched,exact_main_hits,random_exact_main_rate,exact_full_hits
20,120,2118760,20.0,1.7416666666666667,3,0,0.0,0.002131162890069871,0.0,10,0.08333333333333333,0.09136640195273393,0.9120785272516663,0.0,0.002133323264550964,0.002,0.0,0.07766666666666668,1.0729613733905579,0,9.43948347146444e-06,0
100,120,2118760,100.0,2.283333333333333,4,1,0.008333333333333333,0.010610492588944753,0.7853860943285489,35,0.2916666666666667,0.38063885446140977,0.7662556337801207,0.008333333333333333,0.01066661632275482,0.012666666666666666,0.6578947368421053,0.31566666666666676,0.9239704329461454,0,4.719741735732221e-05,0
500,120,2118760,500.0,2.7583333333333333,5,8,0.06666666666666667,0.05193851973869379,1.2835688618403294,82,0.6833333333333333,0.9088577415105712,0.7518595068548308,0.08333333333333333,0.05333308161377409,0.042666666666666665,1.5625,0.778,0.8783204798628963,1,0.00023598708678661105,0
